# species1 chromo1 start1 end1 species2 chromo2 start2 end orientation score score_against_rest_species2_genome score_against_rest_species1_genome
Andrena_dorsata	OV815488.1	4488085	4491204	Andrena_chrysosceles	OY979769.1	14239845	14242923	reverse	3672.4	0	0
Andrena_dorsata	OV815488.1	4532455	4533204	Andrena_chrysosceles	OY979769.1	14205344	14206093	reverse	1219.0	0	0
Andrena_chrysosceles	OY979769.1	14203216	14205043	Andrena_dorsata	OV815488.1	4533505	4535304	reverse	2686.9	0	0
Andrena_chrysosceles	OY979769.1	14199164	14201312	Andrena_dorsata	OV815488.1	4537255	4539317	reverse	2292.4	0	141.0
Andrena_chrysosceles	OY979769.1	14201729	14202913	Andrena_dorsata	OV815488.1	4535605	4536804	reverse	1687.0	0	0
Andrena_chrysosceles	OY979769.1	14207126	14207673	Andrena_dorsata	OV815488.1	4530855	4531404	reverse	915.0	0	0
Andrena_chrysosceles	OY979769.1	14182345	14182625	Andrena_dorsata	OV815488.1	4554110	4554390	reverse	436.0	0	0
Andrena_dorsata	OV815488.1	4541198	4546676	Andrena_chrysosceles	OY979769.1	14190637	14196126	reverse	7790.0	0	119.0
Andrena_dorsata	OV815488.1	4539319	4540854	Andrena_chrysosceles	OY979769.1	14196452	14198012	reverse	1906.0	141.0	0
Andrena_dorsata	OV815488.1	4553005	4553304	Andrena_chrysosceles	OY979769.1	14183564	14183860	reverse	484.0	0	148.0
Andrena_dorsata	OV815488.1	4553756	4554061	Andrena_chrysosceles	OY979769.1	14183032	14183303	reverse	230.0	0	148.0
Andrena_chrysosceles	OY979769.1	14184153	14188329	Andrena_dorsata	OV815488.1	4548460	4552704	reverse	5520.1	148.0	0
Andrena_chrysosceles	OY979769.1	14206295	14206494	Andrena_dorsata	OV815488.1	4532055	4532254	reverse	353.0	0	0
Andrena_chrysosceles	OY979769.1	14180246	14181576	Andrena_dorsata	OV815488.1	4555559	4556901	reverse	1905.0	0	0
Andrena_dorsata	OV815488.1	4570633	4571004	Andrena_chrysosceles	OY979769.1	14166799	14167161	reverse	473.0	0	285.0
Andrena_dorsata	OV815488.1	4563655	4564704	Andrena_chrysosceles	OY979769.1	14173362	14174409	reverse	1838.0	0	285.0
Andrena_dorsata	OV815488.1	4571905	4572593	Andrena_chrysosceles	OY979769.1	14165259	14165916	reverse	850.0	0	285.0
Andrena_dorsata	OV815488.1	4565005	4565454	Andrena_chrysosceles	OY979769.1	14172587	14173045	reverse	573.0	0	285.0
Andrena_dorsata	OV815488.1	4560355	4563354	Andrena_chrysosceles	OY979769.1	14174708	14177716	reverse	4839.0	0	285.0
Andrena_dorsata	OV815488.1	4565912	4569804	Andrena_chrysosceles	OY979769.1	14167952	14172131	reverse	4273.1	0	285.0
Andrena_chrysosceles	OY979769.1	14163277	14164931	Andrena_dorsata	OV815488.1	4572955	4574607	reverse	2462.0	285.0	0
Andrena_chrysosceles	OY979769.1	14166469	14166665	Andrena_dorsata	OV815488.1	4571155	4571351	reverse	359.0	0	0
Andrena_chrysosceles	OY979769.1	14220990	14222207	Andrena_dorsata	OV815488.1	4517456	4518654	reverse	1661.0	228.0	0
Andrena_chrysosceles	OY979769.1	14219832	14220692	Andrena_dorsata	OV815488.1	4518955	4519810	reverse	1075.0	228.0	0
Andrena_dorsata	OV815488.1	4524205	4530204	Andrena_chrysosceles	OY979769.1	14208616	14214554	reverse	8885.0	0	0
Andrena_dorsata	OV815488.1	4503505	4503804	Andrena_chrysosceles	OY979769.1	14234082	14234380	reverse	387.0	0	309.0
Andrena_dorsata	OV815488.1	4505306	4506204	Andrena_chrysosceles	OY979769.1	14233066	14234026	reverse	1132.8	0	309.0
Andrena_dorsata	OV815488.1	4514158	4514454	Andrena_chrysosceles	OY979769.1	14224162	14224458	reverse	499.0	0	0
Andrena_chrysosceles	OY979769.1	14214990	14216915	Andrena_dorsata	OV815488.1	4521805	4523754	reverse	2577.0	0	0
Andrena_dorsata	OV815488.1	4491805	4493899	Andrena_chrysosceles	OY979769.1	14237097	14239249	reverse	2561.6	0	309.0
Andrena_dorsata	OV815488.1	4499455	4500671	Andrena_chrysosceles	OY979769.1	14235477	14236720	reverse	1363.0	0	309.0
Andrena_dorsata	OV815488.1	4511837	4513508	Andrena_chrysosceles	OY979769.1	14225004	14226726	reverse	1973.9	0	0
Andrena_dorsata	OV815488.1	4506824	4511670	Andrena_chrysosceles	OY979769.1	14227670	14232460	reverse	5181.3	0	309.0
Andrena_chrysosceles	OY979769.1	14217645	14218450	Andrena_dorsata	OV815488.1	4520272	4521054	reverse	1024.0	0	0
